City,Country,Latitude,Longitude,Temperature,Humidity,Cloudliness,Wind_Speed
bluff,nz,-78.53310599541702,156.53163823784934,67.54,79,48,12.77
souillac,mu,-32.14970948842436,63.027526807316434,75.64,83,48,11.21
sur,om,22.590864892556297,60.044884080533706,72.94,100,20,15.79
hobart,au,-87.16629807432543,134.9938257391491,59,47,75,18.34
saleaula,ws,3.7990885250780337,-172.18527952102792,,,,
puerto princesa,ph,9.173430353775018,119.52278094106032,80.6,83,75,4.7
bluff,nz,-65.22854236866974,157.00395404546617,67.54,79,48,12.77
nadym,ru,64.7543441976853,72.61499906261517,23.85,90,44,14.34
vaini,to,-65.13550596823933,-170.79976410688909,84.2,79,75,17.22
rikitea,pf,-50.34610727443001,-126.24162465657815,76.86,100,92,16.35
constitucion,mx,13.116350275274101,-128.19245837898697,,,,
faanui,pf,-3.3588084409990557,-153.4005047788428,82.71,98,0,12.44
khatanga,ru,72.53563282106106,98.23083381831378,-19.45,28,0,9.42
pevek,ru,85.39521789633329,166.79126694793553,21.91,88,88,18.48
port alfred,za,-85.70322181805398,52.718222259835784,63.9,99,56,2.71
broome,au,-15.810205537080947,123.72058016306244,89.6,62,0,8.05
yar-sale,ru,70.69035592758016,73.28697536075853,25.87,89,76,16.8
kapaa,us,10.10051399191019,-168.2189204387724,76.37,69,40,17.22
norman wells,ca,84.21498453757971,-117.06857184167367,-9.41,76,20,5.82
bredasdorp,za,-85.8941907132718,17.06772297464053,62.6,67,20,2.24
sukumo,jp,31.81075800751647,132.88261440636762,53.19,97,100,7.96
chernyy yar,ru,47.9282449245097,45.867927500306365,38.61,96,92,15.46
hobart,au,-59.91050523792949,149.8835976790765,59,47,75,18.34
illoqqortoormiut,gl,86.26145237814981,-17.96762281273047,,,,
port elizabeth,za,-55.108793038070324,29.292138878569972,57.2,93,0,4.7
codrington,ag,25.21453328614909,-44.315423676592246,,,,
hobart,au,-86.17650139614994,140.98407748404446,59,47,75,18.34
hithadhoo,mv,-4.8859173513299226,80.34018717700724,79.56,100,80,12.77
faanui,pf,-1.1429847295583215,-153.43752219533218,82.71,98,0,12.44
chapais,ca,49.24858409321715,-75.09382460378072,28.4,92,90,5.82
tuktoyaktuk,ca,81.23002206465412,-139.29849927979308,-5.81,83,20,10.29
aberdeen,us,45.56065358076137,-99.18187193867266,37.4,69,1,4.7
mongo,td,12.579390668722581,18.399558333139822,61.24,63,8,2.82
port alfred,za,-69.87916871569482,43.89196682309475,63.9,99,56,2.71
yar-sale,ru,69.10581671976828,70.09933846935277,25.87,89,76,16.8
ushuaia,ar,-73.03975930246517,-74.6087131407933,60.8,44,0,13.22
bluff,nz,-58.79760624809742,165.43419943510344,67.54,79,48,12.77
wahiawa,us,22.738686108599182,-157.83267444707752,78.84,57,20,18.34
los llanos de aridane,es,25.639939211939563,-25.24783404882797,66.2,82,0,8.05
salalah,om,15.643419028014463,54.98693258722383,78.8,34,0,8.05
parakai,nz,-36.771400312458645,174.0452783870191,75.2,60,0,13.87
punta arenas,cl,-70.10356307248755,-117.12773373155301,57.2,58,0,17.22
pevek,ru,88.31306083772878,170.1550479987484,21.91,88,88,18.48
alvaraes,br,-3.3828002055745543,-64.98024637921267,80.28,87,24,4.38
castro,cl,-48.58644690661315,-102.82659384490455,61.83,83,64,1.92
new norfolk,au,-71.06588752685548,132.22093575197738,59,47,75,18.34
hermanus,za,-77.28089710314902,-5.84277554612072,50.49,95,36,2.93
saint-philippe,re,-66.98792622188436,72.85398280164705,76.26,78,0,4.7
carnarvon,au,-29.89438400731097,87.64209109986314,82.26,68,92,7.4
san rafael,ar,-36.278475009979786,-68.35960949407976,51.79,100,92,10.42
ust-kamchatsk,ru,55.56098447224397,162.21409272059287,,,,
saint-ambroise,ca,50.20183267109766,-70.82237128310736,27.39,86,90,5.82
norman wells,ca,70.19131357161018,-124.6041949864132,-9.41,76,20,5.82
tiksi,ru,89.59609558148827,128.3480128061775,-23.54,70,44,3.27
taolanaro,mg,-51.01418133129045,53.50718201878118,,,,
mecca,sa,21.79814499948941,40.955126194506335,77,69,0,3.27
punta arenas,cl,-62.95153811143322,-87.44453552060371,57.2,58,0,17.22
puerto ayora,ec,-19.933395046709535,-105.23837899548198,75.2,69,20,17.22
rikitea,pf,-65.16259462762109,-124.49807858488522,76.86,100,92,16.35
revelstoke,ca,50.91612608541854,-117.64487449984713,35.6,55,90,12.75
bambous virieux,mu,-29.213481568220693,71.16697762215068,75.64,83,48,11.21
ushuaia,ar,-76.4778083066116,-51.891548692646666,60.8,44,0,13.22
ushuaia,ar,-87.32633572503666,-59.68743463715512,60.8,44,0,13.22
longyearbyen,sj,85.2612501823225,24.50260811830603,32,91,75,16.11
atar,mr,23.021822450301883,-12.529390507728493,59.85,52,0,6.4
celestun,mx,21.801270293649083,-93.41700509540398,78.93,95,0,21.05
astipalaia,gr,36.2205043078156,26.418398828654517,,,,
punta arenas,cl,-80.24158138808407,-117.66520092010681,57.2,58,0,17.22
sitka,us,51.15883436980829,-141.8428515037765,41.34,81,90,11.41
rikitea,pf,-72.40069899562397,-120.69276846008003,76.86,100,92,16.35
roald,no,65.41648249930572,5.111496866283261,36.39,93,92,12.75
abashiri,jp,44.38341014577961,144.89717779313645,28.4,79,75,4.7
qaanaaq,gl,84.78187587595545,-88.03064626417778,15.12,95,76,4.72
kodiak,us,44.67473401580747,-147.81986688325247,44.6,93,90,11.41
aksarka,ru,64.88051612162971,67.99753075295521,20.92,84,48,12.88
vaini,to,-36.74339260845405,-178.5033525071885,84.2,79,75,17.22
cidreira,br,-49.41111278637814,-31.478379288773937,68.44,99,92,4.05
arraial do cabo,br,-39.79667181972337,-33.76464491816759,75.2,88,75,8.05
port alfred,za,-84.3081902978044,55.02929126325836,63.9,99,56,2.71
ushuaia,ar,-82.89413079415291,-71.46933910563479,60.8,44,0,13.22
kodiak,us,53.08161218502883,-150.90801504647857,44.6,93,90,11.41
new norfolk,au,-78.96413645751008,124.9917784101948,59,47,75,18.34
rikitea,pf,-35.504777478793486,-109.27001347686229,76.86,100,92,16.35
hamilton,us,45.56916030995555,-114.73324706671865,39.96,86,1,5.61
rikitea,pf,-17.33661478941204,-121.72109638078206,76.86,100,92,16.35
grand gaube,mu,-12.694279913531105,61.90433846028063,77.76,100,8,18.14
sisophon,kh,13.154541363281382,103.3319271521907,77.17,71,64,13.22
panaba,mx,23.025603138434178,-88.09569573633081,79.24,56,64,6.85
darasun,ru,51.212977382842325,113.77585831835069,-2.21,77,0,8.95
atuona,pf,5.477265678087875,-146.04161882574036,81.22,99,0,19.04
taoudenni,ml,23.931227461936473,-6.055095786434151,64.08,33,0,11.99
umzimvubu,za,-38.18178128564785,34.12698191041801,,,,
vaitupu,wf,7.963389239682968,-179.541554414629,,,,
tessalit,ml,22.921058591822955,2.716144738192213,62.46,44,64,1.81
bryan,us,30.935193218877984,-96.75440562167668,66.67,100,90,9.17
rikitea,pf,-67.39489096539185,-134.36857081673153,76.86,100,92,16.35
saleaula,ws,-6.708926399602532,-172.2056971399562,,,,
chokurdakh,ru,71.86637517275364,149.1505764939942,5.13,77,68,13.56
krasnyy yar,ru,46.9078304533775,48.444268194032446,33.8,100,90,15.66
cherskiy,ru,67.98605024147889,160.05155141999586,19.21,81,80,9.64
punta arenas,cl,-78.04146515242259,-100.6664961426979,57.2,58,0,17.22
mecca,sa,23.503530375731245,41.34043702643456,77,69,0,3.27
hammerfest,no,74.52063694111033,21.897727113784754,30.2,80,40,11.41
guerrero negro,mx,18.26473617313883,-127.17012449824738,66.87,84,36,12.1
rikitea,pf,-66.173805493855,-136.45650802224017,76.86,100,92,16.35
airai,pw,15.266776985664805,137.3483314394839,,,,
atuona,pf,-2.5451568604628676,-123.99191692314163,81.22,99,0,19.04
piacabucu,br,-13.062976656568338,-34.02933119680972,77.94,80,88,12.88
ust-barguzin,ru,53.54209012698507,108.89054315445242,-5.59,100,36,2.37
tarazona,es,41.63309057150096,-1.9502027837674518,41.14,86,0,11.41
tuktoyaktuk,ca,85.534998396426,-140.97383072426746,-5.81,83,20,10.29
bilma,ne,21.243935774324612,10.336247225998932,54.81,58,20,5.39
palmares do sul,br,-30.865424000836846,-50.331699250378364,71.6,88,90,4.7
khatanga,ru,70.32989248467092,99.06282866136468,-19.45,28,0,9.42
labuhan,id,-18.032223425747986,96.58355969451378,84.78,100,64,5.61
rikitea,pf,-81.36275738610195,-129.57803733815265,76.86,100,92,16.35
kupino,ru,54.47897956454241,77.22429809893771,13.81,88,80,15.79
mataura,pf,-88.34474419526843,-141.1646022403622,,,,
tarudant,ma,29.76184281156081,-8.415485111419514,,,,
lavrentiya,ru,73.75178257260072,-171.60061909216586,31.59,99,88,10.98
chernaya kholunitsa,ru,58.616924646046414,51.66167683210256,29.02,92,88,10.76
balkhash,kz,47.72824842718799,75.98432245397012,,,,
bredasdorp,za,-72.07188387163475,20.5624813257173,62.6,67,20,2.24
rikitea,pf,-46.66202674902997,-127.96535083118046,76.86,100,92,16.35
mataura,pf,-58.28731738337717,-152.20357166953326,,,,
solnechnyy,ru,59.68686255231364,137.86685660716006,-31.42,0,8,2.82
san andres,co,14.057517845497244,-78.16314089284906,82.4,78,20,12.75
cintalapa,mx,16.915202441570983,-94.11406436927484,,,,
isangel,vu,-19.36365364808165,168.69382983927164,76.86,100,20,10.2
hamilton,bm,25.369443482005806,-64.02275377600621,64.4,68,40,5.82
tahta,eg,24.550026301770444,28.86222356987841,55.4,66,0,2.59
mataura,pf,-83.88689042381905,-166.66118184692283,,,,
kapaa,us,38.75561560900559,-166.9656314150565,76.37,69,40,17.22
kapaa,us,16.523446734762175,-175.73815434500253,76.37,69,40,17.22
castro,cl,-43.42074645442439,-100.54398715307681,61.83,83,64,1.92
ribeira grande,pt,33.66781975010977,-36.91912911128563,66.96,97,80,17.47
caravelas,br,-19.426002350519042,-32.935533141054805,79.47,99,8,21.72
cidreira,br,-35.00252847410143,-45.103753696322656,68.44,99,92,4.05
butaritari,ki,12.76494426140627,158.8551644433664,84.24,99,92,17.47
khatanga,ru,79.47588482860209,101.98744676749698,-19.45,28,0,9.42
mataura,pf,-84.58036258328306,-164.1023523316341,,,,
peterhead,gb,58.02707888594762,0.292542629649688,44.6,70,40,12.75
lagoa,pt,44.69584941967878,-25.965398678983036,65.29,100,92,15.79
panzhihua,cn,26.319018731809038,102.17910542188667,30.82,90,8,1.92
yellowknife,ca,82.69856436591036,-100.93277822533797,-14.81,75,75,2.24
bluff,nz,-60.80651574576798,168.16820596385156,67.54,79,48,12.77
praia da vitoria,pt,46.44903723975435,-24.53016938194355,62.6,88,40,20.27
bredasdorp,za,-65.45663869744139,25.113024521923137,62.6,67,20,2.24
rottenmann,at,47.363855217412635,14.357057733426643,8.6,92,5,2.24
avarua,ck,-42.08217519594856,-163.5951250641541,82.4,78,75,5.82
codrington,ag,24.843617188799016,-53.22690187625305,,,,
souillac,mu,-59.79685375548652,77.4965512546674,75.64,83,48,11.21
zaysan,kz,47.26398438301311,85.64346657271022,7.24,77,36,1.7
hermanus,za,-75.26222833300682,-4.616217759391134,50.49,95,36,2.93
hovd,mn,43.75328292835695,104.39046166788211,-9.82,45,0,3.15
mayo,ca,65.00446551848296,-136.16251127982554,-4.01,83,75,3.36
carnarvon,au,-19.093452326118665,110.27081525317516,82.26,68,92,7.4
geraldton,au,-32.240360184101405,93.97040260817772,75.2,73,75,4.7
manzhouli,cn,46.10871495836426,117.94859706961711,-21.07,28,0,5.73
barrow,us,83.21000976410875,-162.15846744884,3.2,84,90,20.8
bluff,nz,-79.95467669382667,162.4877552499857,67.54,79,48,12.77
sakakah,sa,28.281741585501337,40.374946889195,,,,
kodiak,us,57.52476613805655,-150.1092585579923,44.6,93,90,11.41
kilindoni,tz,-7.952444475043521,40.34644459304894,83.34,100,32,6.73
yellowknife,ca,76.96713434777897,-113.25422263475326,-14.81,75,75,2.24
new norfolk,au,-75.67298900127268,125.46187862726521,59,47,75,18.34
broome,au,-15.496193338964844,121.00961206242567,89.6,62,0,8.05
yellowknife,ca,75.55997878933098,-104.52724135046918,-14.81,75,75,2.24
castro,cl,-54.21664302402645,-108.11874766248376,61.83,83,64,1.92
atuona,pf,-7.086265079734318,-114.75765198547313,81.22,99,0,19.04
bandarbeyla,so,9.203153352613782,50.45349846014227,80.1,100,48,23.29
hithadhoo,mv,-25.39717651269362,84.99623518223859,79.56,100,80,12.77
airai,pw,12.635050636543184,135.2302434637691,,,,
ushuaia,ar,-88.55856501018978,-68.19903390652617,60.8,44,0,13.22
lewistown,us,46.960810740032116,-110.11410824254804,34.41,64,40,5.82
mataura,pf,-57.589382012150715,-154.43678535084106,,,,
hambantota,lk,0.6086028575443692,87.89049441541789,76.72,100,44,4.05
rikitea,pf,-14.479819603401083,-112.87319048719795,76.86,100,92,16.35
taolanaro,mg,-56.33572069390955,57.502639430101965,,,,
alappuzha,in,9.025087599221635,74.35423874595068,,,,
nikolskoye,ru,40.36011550911323,167.4933154795902,,,,
illoqqortoormiut,gl,82.7679407377585,-10.962810740288461,,,,
okhotsk,ru,59.1623009331264,140.9868247382612,-18.14,100,56,9.53
quatre cocos,mu,-16.73276756668035,72.57715595291793,75.64,83,48,11.21
louisbourg,ca,45.07268507820709,-58.989391085409096,,,,
estelle,us,26.210658111561457,-88.69048913358385,61.41,93,5,3.36
joshimath,in,31.683502645839752,80.61647339931687,4.5,41,24,1.03
albany,au,-50.541465226825295,121.21692290193772,71.28,52,92,6.62
busselton,au,-59.47422698559957,97.58062110004016,66.46,100,80,5.39
butaritari,ki,8.519291462971253,176.7225062115004,84.24,99,92,17.47
bolungarvik,is,68.9859481358985,-28.269197791636685,,,,
qinhuangdao,cn,40.21009437117985,119.31829957904455,-1.04,56,0,3.27
dalbandin,pk,29.809485387899628,64.05677873620391,29.74,69,0,3.6
albany,au,-71.99366955296179,96.70515543527097,71.28,52,92,6.62
atambua,id,-9.134828761728585,127.13024233282766,82.39,100,8,3.38
busselton,au,-51.82482559547145,101.2066570088952,66.46,100,80,5.39
ushuaia,ar,-89.06706623091789,-47.32524511918379,60.8,44,0,13.22
puerto ayora,ec,-6.905604567821499,-111.96914155232142,75.2,69,20,17.22
ribeira grande,pt,41.32774713515113,-30.596444968013316,66.96,97,80,17.47
tahlequah,us,35.83140082684058,-94.85228752487328,63.3,72,1,10.29
dunedin,nz,-55.74287944541253,179.55363036940963,75.91,48,8,3.49
pangody,ru,69.3777899598214,75.32847860421435,24.97,92,92,16.58
ushuaia,ar,-75.27252399359773,-49.63300940308298,60.8,44,0,13.22
charters towers,au,-19.57734930402019,145.1145573225428,74.25,100,56,4.72
kodiak,us,49.45342499229051,-149.63149492038553,44.6,93,90,11.41
georgetown,sh,-19.24576142154328,-19.703470545278805,75.51,100,68,14
saskylakh,ru,75.97029345784185,120.1861804043229,-23.59,35,12,8.08
punta arenas,cl,-61.0933304150616,-86.05408607497516,57.2,58,0,17.22
namibe,ao,-15.591141735861925,6.584171523385891,69.3,100,0,11.1
skalistyy,ru,73.76158638671546,34.481386703100895,,,,
belushya guba,ru,69.92224692820255,52.42182473307594,,,,
thompson,ca,60.33280264134808,-99.61049232958838,19.4,92,90,2.24
borgarnes,is,64.45564079037945,-21.931674890083457,35.6,93,90,2.24
punta arenas,cl,-83.03225813586496,-115.4844189628943,57.2,58,0,17.22
albany,au,-64.43237358672788,124.59605053040582,71.28,52,92,6.62
husavik,is,70.04523158462138,-13.003830239980573,30.2,80,0,4.16
tuktoyaktuk,ca,79.98926340840379,-122.39305903368341,-5.81,83,20,10.29
punta arenas,cl,-72.20809361896815,-115.14477560227047,57.2,58,0,17.22
albany,au,-80.03198370279074,118.33274404938811,71.28,52,92,6.62
acapulco,mx,10.950106563415389,-103.1531643578253,,,,
avarua,ck,-25.818456632105722,-156.18284401435244,82.4,78,75,5.82
carnarvon,au,-27.83133999838028,91.80442316806216,82.26,68,92,7.4
rikitea,pf,-33.755438331481244,-136.9485722702269,76.86,100,92,16.35
tuktoyaktuk,ca,70.94357954066524,-132.5245387375674,-5.81,83,20,10.29
manoel urbano,br,-9.062193792212469,-69.4249746165325,81.04,85,8,2.48
kholtoson,ru,50.03416822510721,104.11382566876995,-16.84,42,0,3.94
taolanaro,mg,-80.74096535234823,67.63547753558399,,,,
bredasdorp,za,-81.54437876795406,20.721530272077757,62.6,67,20,2.24
buala,sb,-5.976993888596482,158.50976018387132,82.57,93,92,9.19
faanui,pf,-6.454241617608133,-150.98089222924915,82.71,98,0,12.44
jedrzejow,pl,50.438219193632364,20.24950323493124,21.19,90,88,8.52
carnarvon,au,-25.082710089178164,113.03073317094817,82.26,68,92,7.4
nyurba,ru,67.49556155205102,117.02900774441525,-25.43,38,36,2.71
new norfolk,au,-88.88478058655583,123.46765968830971,59,47,75,18.34
biharamulo,tz,-2.2971772178310346,31.03646394491392,54.94,86,0,2.71
busselton,au,-42.174025501738754,87.26578379516582,66.46,100,80,5.39
rikitea,pf,-31.576879305096703,-134.70098090326348,76.86,100,92,16.35
broken hill,au,-28.45838098684957,139.60302842232704,61.2,55,88,15.12
bonthe,sl,2.0879580204381796,-19.64730353667744,81.54,79,0,5.17
mataura,pf,-89.16985554224861,-150.22516157526871,,,,
qaanaaq,gl,80.03575568800838,-69.61177332788677,15.12,95,76,4.72
rikitea,pf,-61.63255501695069,-139.11147126305184,76.86,100,92,16.35
karia,gr,38.8027405417904,20.56459811790495,,,,
sao filipe,cv,9.65046341162342,-27.77234807392054,77.44,96,0,16.8
jamestown,sh,-22.582773767620793,-5.142632232839674,68.58,100,92,14.67
kodiak,us,51.273176916859825,-149.58606793367045,44.6,93,90,11.41
robe,et,7.718348897428825,39.73533647319698,,,,
alekseyevka,ru,52.41769176957288,51.35891160547931,37.66,93,64,12.21
bengkulu,id,-24.157986355479323,86.31201943232821,76.32,100,88,6.62
kapaa,us,33.031928952476875,-177.35964184919325,76.37,69,40,17.22
blagoyevo,ru,64.69905575830583,48.05169288534151,28.17,77,88,8.19
hermanus,za,-67.77234401856958,2.212177596121279,50.49,95,36,2.93
punta arenas,cl,-60.46510531828275,-85.81298237766647,57.2,58,0,17.22
nortelandia,br,-12.972312327578535,-58.04447265492668,76.68,93,0,2.82
samusu,ws,-8.840432869955563,-164.60494773757475,,,,
beringovskiy,ru,62.39627595800039,179.93954276070411,26.46,88,76,7.96
yellowknife,ca,88.17286793182635,-108.55904879601806,-14.81,75,75,2.24
new norfolk,au,-78.20475963531693,131.20855052775283,59,47,75,18.34
riberalta,bo,-11.015941810770414,-66.55874701576671,79.11,93,12,1.25
narsaq,gl,82.45011461426932,-62.83640108256475,32.74,86,0,2.24
never,ru,54.22770238262811,124.06416001438066,-28.31,43,8,5.39
sur,om,18.124452579203123,58.559508696229244,72.94,100,20,15.79
ekhabi,ru,53.51907930170674,146.77097497899786,,,,
coquimbo,cl,-29.556644117693224,-74.29915923307726,59,82,0,8.05
vaini,to,-50.944089415552696,-178.98685721766685,84.2,79,75,17.22
khash,ir,29.550774224146792,60.54803936589559,14.44,72,0,2.71
grootfontein,na,-19.809661451449116,19.675224406408205,69.34,59,48,5.61
atuona,pf,0.14391330588445328,-126.19476601682356,81.22,99,0,19.04
puerto ayora,ec,-1.1025982005104709,-105.86101755858405,75.2,69,20,17.22
miranda,br,-20.60600585429745,-56.374963989747954,78.93,87,76,4.16
mataura,pf,-65.0324530465906,-160.5818600145613,,,,
jardim,br,3.3902672962480978,-33.95269412011294,78.57,88,64,2.82
dali,cn,24.84594675719913,99.16577768893217,30.42,100,0,2.71
barentsburg,sj,75.25118340752414,6.945145797874602,,,,
barcelona,ve,11.254533978460188,-65.40059639374687,82.39,98,64,14.9
geraldton,au,-26.931700760455577,119.15425117679229,75.2,73,75,4.7
jamestown,sh,-28.826563866860162,-8.34340084325953,68.58,100,92,14.67
plouzane,fr,46.76668530238669,-6.04968456109242,47.3,100,90,4.7
hermanus,za,-76.27020262386417,5.93307566179368,50.49,95,36,2.93
avera,pf,-26.949287107981498,-156.2235029205998,,,,
san jose,gt,9.095425791619888,-92.7690215645658,72.9,93,48,3.6
butaritari,ki,22.93712680077003,174.89800006554037,84.24,99,92,17.47
xining,cn,32.78645414820966,99.30557111319405,1.39,89,8,2.48
faya,td,21.904850102801603,23.69354137169418,,,,
puerto ayora,ec,1.7845521716797919,-92.71019465736559,75.2,69,20,17.22
senneterre,ca,48.079199375083675,-77.327866656551,33.8,100,90,8.05
albany,au,-44.82224952988067,113.01959797840965,71.28,52,92,6.62
grafton,au,-29.59664260161732,152.0406094925507,68.44,100,92,2.93
new norfolk,au,-55.107864317518484,133.32826235290656,59,47,75,18.34
qaanaaq,gl,80.31509197241144,-80.64817237979248,15.12,95,76,4.72
hithadhoo,mv,-3.3387133594162606,72.5804975918841,79.56,100,80,12.77
yellowknife,ca,88.56968057777274,-108.35020053438402,-14.81,75,75,2.24
rikitea,pf,-72.47129268208965,-125.2559621446971,76.86,100,92,16.35
busselton,au,-36.16138509866946,100.51042215926043,66.46,100,80,5.39
karpathos,gr,33.495910876545935,28.608228173924203,66.2,77,24,6.93
longhua,cn,29.135366551099878,106.91479904316077,56.79,81,68,4.94
hilo,us,19.03374559862843,-139.62202407732377,72.93,57,90,9.17
arraial do cabo,br,-29.346250346228693,-38.71519413248396,75.2,88,75,8.05
samarai,pg,-9.213311993704792,152.6206990463541,83.52,99,0,16.46
castletown,gb,58.495727785632425,-3.332547482555981,,,,
beloha,mg,-28.92233015758785,40.128144136678685,70.56,92,0,2.82
perdika,gr,39.259464892731046,20.27941580938571,51.12,87,75,3.36
saint-philippe,re,-31.215525480400792,57.32322115127485,76.26,78,0,4.7
sterling,us,39.9910008680784,-102.32054885084207,38.62,100,5,4.27
rawson,ar,-50.96737303052072,-56.694328955390205,58.77,80,0,15.46
saldanha,za,-37.00210107869607,2.8678975520306267,55.4,76,0,6.93
likasi,cd,-10.679938348442349,27.67094177247654,63.67,97,48,2.82
butaritari,ki,12.425204156141902,169.48006128064742,84.24,99,92,17.47
georgetown,sh,-5.5683127137979795,-9.312842302524786,75.51,100,68,14
taolanaro,mg,-63.71197685404513,53.173314490000394,,,,
new norfolk,au,-56.27891810586556,133.96981870029907,59,47,75,18.34
port hardy,ca,45.655884656743666,-136.3268039342994,39.2,80,20,6.93
nikolskoye,ru,48.924508375755266,164.46056683395346,,,,
sentyabrskiy,ru,33.02688859004574,160.347181733639,,,,
jamestown,sh,-44.2660459597159,-10.728644704126253,68.58,100,92,14.67
tingrela,ci,10.92879692948759,-6.0763271319742955,,,,
puerto ayora,ec,-12.937991728272607,-92.6766567623983,75.2,69,20,17.22
ushuaia,ar,-53.565914934108314,-61.803111534998166,60.8,44,0,13.22
hithadhoo,mv,-22.792502661298215,81.86712277799575,79.56,100,80,12.77
rikitea,pf,-22.292535417827736,-128.76962455739874,76.86,100,92,16.35
mataura,pf,-80.74957563080845,-161.6446489481102,,,,
belushya guba,ru,73.60767664322691,45.24689123093566,,,,
ushuaia,ar,-85.69905886465212,-86.77016194820962,60.8,44,0,13.22
