City,Country,Latitude,Longitude,Temperature,Humidity,Cloudliness,Wind_Speed
yellowknife,ca,83.98012660798958,-110.52866526068553,-14.81,75,75,2.24
port hawkesbury,ca,39.035215406418985,-59.27425472569264,32,100,90,5.5
lota,cl,-37.21758929092209,-73.07189809152707,59,72,0,6.93
port hedland,au,-15.972936578758208,116.90539290777002,89.6,62,0,8.05
komsomolskoye,ua,47.455939409581674,37.892907946475276,,,,
trinidad,bo,-15.27993122616573,-64.53069881696567,,,,
airai,pw,13.449726585567475,146.83665806609486,,,,
barrow,us,89.9402255223911,-147.31197490902622,3.2,84,90,20.8
watertown,us,44.96691460036371,-96.8677076719884,38.7,74,90,2.26
ushuaia,ar,-76.87407405082517,-29.247310799500923,60.8,44,0,13.22
puerto cabezas,ni,13.791266416948844,-82.91730696273108,77.31,100,76,13.11
honiara,sb,-12.739819684030408,158.79755768986325,84.2,89,75,2.24
wajima,jp,38.912806957684154,134.1820182224376,44.6,100,75,12.33
tazovskiy,ru,69.09433502210592,77.66005443653694,20.52,90,88,8.41
monrovia,lr,0.30824024547524687,-15.856988472386774,78.8,94,40,12.44
ushuaia,ar,-82.2948574840581,-57.3345494025227,60.8,44,0,13.22
praia da vitoria,pt,49.04325046220947,-23.742914796032352,62.6,88,40,20.27
tasiilaq,gl,67.93333838245428,-40.11698732592603,19.57,100,12,2.48
mataura,pf,-76.8002313718276,-164.73327326508254,,,,
arequipa,pe,-16.13355606518695,-71.30913780066605,55.4,62,0,5.82
omboue,ga,-5.837003576219345,2.051264288666715,79.29,100,80,0.36
bambous virieux,mu,-35.4927043732534,78.85098980585587,75.64,83,48,11.21
mar del plata,ar,-57.22170550402355,-43.45014940645237,55.4,82,75,13.87
east london,za,-85.41837435682442,59.42212368636376,67.86,100,76,4.72
mataura,pf,-63.719877767574395,-152.80192411826758,,,,
hermanus,za,-75.82630163772123,11.19042826826842,50.49,95,36,2.93
novokayakent,ru,42.63482832567004,48.202596222327514,39.2,93,0,6.71
kapaa,us,36.749725433463226,-175.70188450150434,76.37,69,40,17.22
avarua,ck,-49.54053285260537,-165.32808147352304,82.4,78,75,5.82
georgetown,sh,-8.11855085071717,-8.15465643844027,75.51,100,68,14
tsihombe,mg,-32.884364116357204,46.24454699630718,,,,
provideniya,ru,49.45920877885712,-176.74232201510006,32,100,75,13.42
warqla,dz,30.64317715988541,8.007636171336657,,,,
vaitupu,wf,4.27315017078395,-179.62113832621986,,,,
ushuaia,ar,-87.5435221650805,-36.816833037133335,60.8,44,0,13.22
ushuaia,ar,-88.25639247704105,-83.77590347185468,60.8,44,0,13.22
fairbanks,us,70.99624693191171,-142.99705582839732,11.57,92,1,4.16
hithadhoo,mv,-1.3305826566412549,73.57220088158653,79.56,100,80,12.77
ushuaia,ar,-85.14243963920597,-34.01328662837608,60.8,44,0,13.22
azimur,ma,33.792125196990725,-9.024722869143375,,,,
carauari,br,-6.112600819609838,-67.48786925292775,84.87,75,8,1.92
poum,nc,-18.222227008307,158.49441621067615,77.49,100,24,8.75
severo-kurilsk,ru,45.42751370184661,160.89878875556127,25.2,100,44,15.23
tevriz,ru,59.00342636328182,72.75721799887526,22.14,89,80,6.73
bambous virieux,mu,-39.66965843007261,79.66173077765058,75.64,83,48,11.21
busselton,au,-34.11937313646297,110.97898342778393,66.46,100,80,5.39
arman,ru,58.67326999074149,149.7547986143361,3.2,45,0,13.42
chingola,zm,-12.891625156988454,27.316582092549908,65.11,93,36,2.82
hithadhoo,mv,-20.205373695054334,84.80746637139896,79.56,100,80,12.77
fevralsk,ru,52.509322571506345,130.03554580658232,,,,
ilulissat,gl,72.66375198177948,-44.56137641943076,21.2,67,36,11.41
acapulco,mx,7.443845449884847,-103.14656258048132,,,,
saint george,bm,32.36585933306762,-57.53136902319967,64.4,68,40,5.82
hermanus,za,-79.85836206681032,10.487861182659287,50.49,95,36,2.93
bayji,iq,35.19882859455586,43.77736930788441,38.29,75,0,2.93
east london,za,-50.24283342718837,39.804475982941995,67.86,100,76,4.72
port blair,in,11.053137081639292,90.31563940706178,83.92,98,32,17.81
bredasdorp,za,-49.49494398211904,23.722268422482898,62.6,67,20,2.24
necochea,ar,-48.83462713395916,-55.49995792336151,54,82,0,11.88
portree,gb,57.723652765531796,-6.407067584558888,48.46,100,92,16.46
puerto suarez,bo,-18.499235527064997,-58.43677814878734,,,,
seoul,kr,35.37849683732321,125.44013525161552,32.76,46,0,11.41
tiarei,pf,-14.646000670362426,-148.09419509907764,84.2,70,40,5.82
gat,ly,27.410697831141817,6.6194025949345985,,,,
dinguiraye,gn,11.33179648141504,-10.496672448487715,66.91,65,32,2.71
punta arenas,cl,-62.81269023608793,-107.694136319616,57.2,58,0,17.22
ternate,id,0.6174640921059336,126.34232153517195,83.7,100,8,7.18
san cristobal,ec,-9.08060916852655,-90.77681586416331,73.4,83,40,16.11
albany,au,-84.15269141683844,105.81150881244099,71.28,52,92,6.62
saint anthony,ca,55.57808653657335,-51.59308063204719,,,,
taolanaro,mg,-75.57662683658111,70.77954766356856,,,,
tome,cl,-36.06957382644954,-73.26211470618809,59,72,0,6.93
albany,au,-54.778488705289625,110.13118697009821,71.28,52,92,6.62
ust-tsilma,ru,66.41592633453166,51.57732232658043,30.46,82,88,7.85
busselton,au,-67.01897906739435,94.25806782238493,66.46,100,80,5.39
ramshir,ir,30.93188944173967,49.52923162378198,51.8,76,0,4.7
saldanha,za,-39.36533144444289,-3.0379859727913185,55.4,76,0,6.93
rudnogorsk,ru,59.04400999352279,104.580906336824,5.26,89,68,6.62
vila franca do campo,pt,34.10600334812163,-23.435191389329958,66.2,82,20,9.17
chany,ru,55.25441571553873,76.93872187702078,14.71,90,92,14.23
bandar-e torkaman,ir,37.29434952056141,54.29470845686362,,,,
mys shmidta,ru,76.22709379585729,-172.3488929983502,,,,
minsk,by,53.48029645097162,27.667453114006662,30.2,92,90,2.24
yellowknife,ca,89.56173045126712,-109.37004203960204,-14.81,75,75,2.24
port alfred,za,-47.1111101507544,33.47079906504118,63.9,99,56,2.71
ekhabi,ru,53.82639115904402,145.43538541630886,,,,
saint-philippe,re,-37.09296479758705,63.615616020230476,76.26,78,0,4.7
zheleznodorozhnyy,ru,63.84751903621779,50.447909233509165,26.01,92,75,4.47
deniliquin,au,-34.93507429191461,145.25608780403172,64.12,75,8,13.56
sajoszentpeter,hu,48.2549113205481,20.739023420633657,30.2,92,75,4.7
krasnoslobodsk,ru,54.31859930800738,44.05581647524818,32,94,90,15.66
avarua,ck,-14.660004064840564,-162.0105460215826,82.4,78,75,5.82
samarai,pg,-14.016139250497531,152.15949098047895,83.52,99,0,16.46
chokurdakh,ru,86.00083763854639,152.95735096073662,5.13,77,68,13.56
albany,au,-78.5503070429203,109.92765748202584,71.28,52,92,6.62
atuona,pf,-12.18048175680876,-143.91814666266333,81.22,99,0,19.04
castro,cl,-46.106289080230965,-83.06558691928846,61.83,83,64,1.92
kungurtug,ru,47.57392329015525,97.83441152258308,9.94,77,76,6.4
severo-kurilsk,ru,42.0907102222578,164.68945348314543,25.2,100,44,15.23
singkawang,id,0.9524929050719209,108.72323969636165,80.1,87,88,3.94
atuona,pf,-2.231154881903109,-120.63454492712607,81.22,99,0,19.04
ushuaia,ar,-84.1620183470504,-48.80177394661328,60.8,44,0,13.22
salym,ru,60.53373042515463,70.8518533253424,25.42,88,88,7.63
san patricio,mx,10.766255771399642,-109.96401019790622,84.2,66,75,11.41
carnarvon,au,-30.860923318539378,97.10597776585553,82.26,68,92,7.4
romitan,uz,40.89270369107575,64.52095560369818,,,,
tura,ru,67.93823425254149,100.1122861429941,-18.55,77,68,2.48
arraial do cabo,br,-33.50419829571154,-28.556234205743948,75.2,88,75,8.05
hilo,us,17.893074732050067,-146.69146601938752,72.93,57,90,9.17
cape town,za,-60.689959632080686,-14.73371044419551,59,82,0,8.05
mantua,cu,22.650779195765097,-85.25805145544422,76.14,69,32,6.51
hobart,au,-52.05405902241165,151.50871169403229,59,47,75,18.34
ostrovnoy,ru,73.60596129559642,43.88504344554704,29.02,93,12,13.44
tsihombe,mg,-39.90112226496642,48.265505549258194,,,,
punta arenas,cl,-66.47641820314003,-94.62552244111981,57.2,58,0,17.22
vila velha,br,-25.096050290539708,-32.543946809335694,75.2,94,75,3.36
mehamn,no,72.11038590026868,28.0066917487286,33.12,100,88,12.44
hilo,us,17.97110381997564,-151.3174557089984,72.93,57,90,9.17
norman wells,ca,72.17809651282013,-121.36642642821279,-9.41,76,20,5.82
fortuna,us,40.55638264164136,-124.40016512889974,48.72,75,20,8.05
pisco,pe,-27.417212541420362,-95.50960810337654,66.2,82,0,14.99
punta arenas,cl,-56.66926092178175,-83.24033562305951,57.2,58,0,17.22
muzhi,ru,65.2952431689072,62.66784024407855,18.99,78,20,9.53
barentsburg,sj,76.74202293164143,2.8351763256108313,,,,
rungata,ki,-1.4649643264005334,178.06360512922765,,,,
porto velho,br,-8.383930512762532,-63.85181393652145,80.6,83,20,1.36
hilo,us,3.5980233700207123,-151.4520309679107,72.93,57,90,9.17
ushuaia,ar,-82.10275806099438,-31.17992407781466,60.8,44,0,13.22
butaritari,ki,7.822752200369436,166.99489048821647,84.24,99,92,17.47
jamestown,sh,-34.97466260231846,-16.484295626571026,68.58,100,92,14.67
cidreira,br,-49.685086909832826,-28.38089075212625,68.44,99,92,4.05
severo-kurilsk,ru,29.69429449596123,170.7212733503922,25.2,100,44,15.23
louisbourg,ca,43.0460186516315,-59.40261784726893,,,,
saurimo,ao,-9.824818292766224,20.53834403224556,65.34,99,92,2.37
doha,kw,28.564182722895026,46.347571487477666,,,,
punta arenas,cl,-89.67582622057678,-121.57593092793836,57.2,58,0,17.22
sao joao da barra,br,-35.67878629405816,-23.048302338897344,76.86,99,92,14.67
kodiak,us,40.18887395817589,-147.80115396594374,44.6,93,90,11.41
khatanga,ru,89.56387559310764,101.27210188665623,-19.45,28,0,9.42
rikitea,pf,-30.712013317421928,-136.60501763530058,76.86,100,92,16.35
provideniya,ru,59.230410597449094,-174.8308856820294,32,100,75,13.42
langxiang,cn,47.24597820974566,128.7314991852772,-15.08,64,0,2.15
salvador,br,-14.35561766504594,-36.18543364196026,78.8,83,20,9.17
middle island,kn,15.912302535471227,-64.20865640762995,,,,
richards bay,za,-33.76239285110744,37.207110754105486,70.51,82,76,12.44
kodiak,us,43.97117548335831,-157.49393908467363,44.6,93,90,11.41
east london,za,-38.47232863632919,33.71420124119908,67.86,100,76,4.72
nguruka,tz,-4.418500427442652,31.009830040329746,60.79,94,12,2.59
malakal,sd,7.863961332686728,32.26767336275216,,,,
piacabucu,br,-12.358581571738398,-35.13115861838335,77.94,80,88,12.88
butaritari,ki,9.566574741781352,176.75033113654183,84.24,99,92,17.47
hobart,au,-78.97848545173572,148.53548701035254,59,47,75,18.34
albany,au,-46.382287629465985,122.9901636282109,71.28,52,92,6.62
great falls,us,47.538090736349346,-112.26278309106108,28.4,74,75,18.34
macamic,ca,48.3623760136596,-79.04435851005385,33.8,100,90,5.82
hasaki,jp,33.698511512313246,147.29971615230204,47.82,71,40,8.05
mrirt,ma,29.815405593017132,-3.8186596930869143,,,,
nizhniy kuranakh,ru,59.10069779939579,125.30953423917924,-21.43,59,48,3.04
buala,sb,-3.52024377639583,159.61630264527508,82.57,93,92,9.19
saint-francois,gp,16.293977326506024,-58.36809456224272,80.6,69,0,9.17
nome,us,63.2174894541798,-166.28023990362345,30.2,92,90,6.93
puerto ayora,ec,-0.05077331250195982,-105.09194705531291,75.2,69,20,17.22
castro,cl,-45.863932588998566,-107.7766483544936,61.83,83,64,1.92
voskresenskoye,ru,57.11145956974278,45.438618824406916,33.52,93,92,5.73
tasiilaq,gl,62.45391385893302,-39.85990551485955,19.57,100,12,2.48
izhma,ru,65.42125399229215,53.84328234022479,30.01,80,88,7.63
taolanaro,mg,-76.4540395002092,66.235920465276,,,,
qaanaaq,gl,86.1804568839502,-82.22109551287912,15.12,95,76,4.72
vaini,to,-68.12654483815984,-179.26377898717465,84.2,79,75,17.22
shelburne,ca,41.205312359859704,-65.12264061259778,32.72,100,1,6.29
butaritari,ki,22.47865793070737,170.7816803759829,84.24,99,92,17.47
rikitea,pf,-18.60460183410143,-132.18386903094958,76.86,100,92,16.35
kapaa,us,26.98430938387837,-167.46894334556526,76.37,69,40,17.22
chuy,uy,-62.12979555892281,-25.19356083797109,64.26,97,48,17.02
khatanga,ru,87.9251446577374,95.09816596271759,-19.45,28,0,9.42
hasaki,jp,34.95110810432783,145.92828802163206,47.82,71,40,8.05
cabedelo,br,-6.360631474161167,-32.723634438324154,78.8,83,40,5.82
ushuaia,ar,-86.79018473568878,-78.57123697074721,60.8,44,0,13.22
nokaneng,bw,-19.23926463972262,22.399471881693046,69.84,75,44,2.93
sao filipe,cv,7.668220460765738,-27.231066815665827,77.44,96,0,16.8
mar del plata,ar,-66.16420752353272,-27.11090704239055,55.4,82,75,13.87
rikitea,pf,-37.2570437322429,-110.35980554929891,76.86,100,92,16.35
nizhneyansk,ru,75.75633751696236,140.66896134589564,,,,
nemuro,jp,40.8936908623416,146.30131663274494,32,100,20,6.93
san patricio,mx,18.49295049621449,-105.10890162369988,84.2,66,75,11.41
bluff,nz,-68.98622164444794,161.5984247393651,67.54,79,48,12.77
itarema,br,1.7296342395000153,-39.222249501468156,,,,
craigieburn,au,-37.5267162981386,145.18120438141528,58.53,93,75,14.99
sadiqabad,pk,28.396520420081146,70.22788072952798,49.72,83,0,2.93
carnarvon,au,-20.464525049562894,110.34971882803734,82.26,68,92,7.4
atuona,pf,-7.75635313419545,-130.85311508714085,81.22,99,0,19.04
haian,cn,32.74652198832666,120.5407136184815,37.71,91,0,3.04
komsomolskiy,ru,68.28205948949227,174.47670020785682,46.08,90,8,14.34
hilo,us,20.234916142265476,-148.03674162211746,72.93,57,90,9.17
butaritari,ki,20.89808594581946,171.65375261293542,84.24,99,92,17.47
dauphin,ca,50.901489903203185,-100.07557308056055,24.8,100,90,5.82
vaini,to,-45.82382731136965,-172.782711573506,84.2,79,75,17.22
methoni,gr,35.04305566225186,21.175277077560253,51.8,81,75,6.93
rikitea,pf,-34.10757197268561,-129.12461952373064,76.86,100,92,16.35
saurimo,ao,-9.687563845672145,20.31099892146139,65.34,99,92,2.37
narsaq,gl,75.4370315395671,-69.7496706956309,32.74,86,0,2.24
taolanaro,mg,-78.1032231943997,64.09212712880606,,,,
chicama,pe,-13.509016742154714,-88.96937840288606,64.4,88,20,8.05
vao,nc,-27.000236314061922,167.52849571959075,73.84,100,80,13.78
punta arenas,cl,-52.48288042297178,-71.0282575533686,57.2,58,0,17.22
losal,in,27.622718112347002,74.91143255052901,47.47,66,36,3.71
paradwip,in,18.29532822627293,87.43408945687918,,,,
port alfred,za,-45.595132765036944,30.309716367037737,63.9,99,56,2.71
rikitea,pf,-68.38175985142412,-125.36049248288471,76.86,100,92,16.35
mataura,pf,-57.996849105368504,-143.4247013615713,,,,
provideniya,ru,50.01727216055875,-176.99766394874305,32,100,75,13.42
saskylakh,ru,79.23463274285922,108.52138796406558,-23.59,35,12,8.08
vaini,to,-40.6614590663318,-174.53380349025636,84.2,79,75,17.22
guanhaes,br,-19.14186782804454,-43.03836352440331,68.44,93,64,1.7
esperance,au,-35.88230990311933,122.50295444571606,71.01,44,32,16.8
sawakin,sd,19.5068437484272,37.44182613662059,70.38,100,0,7.18
ushuaia,ar,-79.66498783124374,-27.258185942617217,60.8,44,0,13.22
mys shmidta,ru,82.23658044913876,-177.32684026780575,,,,
burns lake,ca,52.54320567158089,-125.56515972182831,16.02,100,0,2.37
busselton,au,-77.71990239669789,91.55836955516742,66.46,100,80,5.39
jamestown,sh,-15.88160751412157,-1.177331916758277,68.58,100,92,14.67
ushuaia,ar,-71.11476012614963,-78.2304914782845,60.8,44,0,13.22
atuona,pf,-7.370378296486294,-126.51386184079689,81.22,99,0,19.04
avarua,ck,-78.87630774491072,-167.47315955252407,82.4,78,75,5.82
mataura,pf,-82.13344055067466,-166.10435479555056,,,,
mataura,pf,-59.31803947004385,-151.91436017691163,,,,
mataura,pf,-63.73014918242745,-149.02288381835876,,,,
yellowknife,ca,84.61025364421903,-113.18411985786612,-14.81,75,75,2.24
mataura,pf,-50.85662274003845,-159.30438151169545,,,,
prince rupert,ca,49.66794283060145,-134.14596640181594,39.2,93,90,8.05
ambilobe,mg,-10.874459721457711,51.703760812283605,76.95,75,76,6.73
avarua,ck,-34.387131036565236,-161.41987598801632,82.4,78,75,5.82
cherskiy,ru,70.13270087393533,161.5100483307029,19.21,81,80,9.64
fasa,ir,29.5694835087764,53.55140290898504,37.4,64,0,2.15
olindina,br,-11.537839783179152,-38.55041081320999,76.86,72,0,11.43
pevek,ru,87.77896626969851,164.92058275613869,21.91,88,88,18.48
sao joao da barra,br,-25.19638230804796,-36.94950243070477,76.86,99,92,14.67
hilo,us,20.758088862878452,-148.50098055373212,72.93,57,90,9.17
new norfolk,au,-78.27173801642085,130.62549174023343,59,47,75,18.34
kaitangata,nz,-51.13429339143928,172.44826717665546,,,,
bushenyi,ug,-0.803801736279226,30.190359199738566,59.85,88,0,2.71
clyde river,ca,67.53467918783866,-76.65499942960213,-5.81,76,20,3.36
cabo san lucas,mx,7.441565314895698,-118.12752309432084,77,69,20,11.41
endicott,us,42.09377821730391,-76.29013582024672,33.55,69,1,2.26
illoqqortoormiut,gl,72.85989854937057,-20.26521809652695,,,,
taolanaro,mg,-87.76168990489121,66.58751942907182,,,,
torbay,ca,39.21717395254365,-49.50909398801045,30.2,100,90,13.87
mataura,pf,-77.24811935538065,-159.24121635810997,,,,
novovarshavka,ru,54.50290207811358,74.51221390582754,10.71,87,80,11.99
butaritari,ki,11.580041348856241,161.99078057855496,84.24,99,92,17.47
hermanus,za,-42.839878944146975,15.479228203037081,50.49,95,36,2.93
kuche,cn,40.03215932606574,82.10151124598451,,,,
vallenar,cl,-29.12761792988865,-71.04497197947722,58.32,72,0,1.7
mataura,pf,-75.82470500445068,-165.25719076804387,,,,
lebu,cl,-33.31186972478403,-88.91934917730622,55.17,97,36,7.29
noumea,nc,-26.341751341761153,163.66167422721878,87.8,43,0,13.87
batemans bay,au,-39.07734375259004,154.02294967891748,59.62,89,64,5.95
victoria,sc,-1.7790250042162654,63.483101256490784,80.6,83,75,11.41
puerto ayora,ec,-10.435013483755185,-110.72229649348131,75.2,69,20,17.22
nizhneyansk,ru,85.74779711200156,135.15308477632266,,,,
vicente guerrero,mx,30.927584676017617,-115.63730695066666,62.6,48,40,8.05
zhezkazgan,kz,48.199097301981084,66.03178942507697,,,,
mount pleasant,us,31.0416797701388,-78.18548676368282,50.86,100,1,4.38
porterville,us,36.074027380989335,-118.547089800518,60.26,58,90,2.59
muros,es,43.210411141136575,-15.473448297635656,39.2,93,0,2.24
nanortalik,gl,58.74529719278485,-40.490458583486344,26.86,100,20,14
guerrero negro,mx,27.726771252132338,-116.68410280397995,66.87,84,36,12.1
pevek,ru,73.97575412468134,169.76998863465957,21.91,88,88,18.48
bajil,ye,14.791218157090583,43.80492654210872,66.87,62,0,3.71
port alfred,za,-53.369933205766436,38.65928052131417,63.9,99,56,2.71
busselton,au,-45.71047773453031,99.25975753520066,66.46,100,80,5.39
tsihombe,mg,-31.80454824828781,45.571119298932445,,,,
tiksi,ru,89.19733551243448,126.84822287547041,-23.54,70,44,3.27
albany,au,-77.67795474708053,110.81521949154256,71.28,52,92,6.62
taksimo,ru,55.810716976219396,114.37910463562412,-22.06,29,44,1.92
saint-philippe,re,-35.10898176619654,61.0333330395475,76.26,78,0,4.7
avarua,ck,-43.12031670277983,-160.92411211751556,82.4,78,75,5.82
qaanaaq,gl,73.82644802563092,-74.64796806094586,15.12,95,76,4.72
ballina,au,-31.7136202962095,160.52510026368827,72.94,99,92,8.19
kapaa,us,23.364992733509624,-158.11553438580722,76.37,69,40,17.22
jamestown,sh,-19.98317167563488,-5.452103308302611,68.58,100,92,14.67
lebu,cl,-36.19329529430691,-100.0539687090449,55.17,97,36,7.29
oranjestad,aw,13.457495961788482,-70.6143614875274,82.4,83,20,16.11
leningradskiy,ru,71.43959832281996,177.9100548093574,25.92,98,80,15.01
tasiilaq,gl,57.935914362310825,-37.77143753800672,19.57,100,12,2.48
khatanga,ru,84.23278990586942,102.12859591816579,-19.45,28,0,9.42
filadelfia,py,-21.7573675137765,-60.843392764222855,75.42,100,56,5.28
paamiut,gl,64.4516398192963,-48.489331906237766,31.68,90,76,6.06
ushuaia,ar,-72.94318080785924,-41.53616978311115,60.8,44,0,13.22
oparino,ru,59.69547005672874,48.248524070191706,29.74,90,76,5.39
itarema,br,1.0637826413374114,-38.74704956593635,,,,
barentsburg,sj,84.68525707620915,-4.740716074494145,,,,
punta arenas,cl,-52.17609886351762,-79.78786811777111,57.2,58,0,17.22
north bend,us,43.43869061634189,-133.7202161437899,45.61,93,75,5.17
ushuaia,ar,-69.80827014992784,-40.36015501229846,60.8,44,0,13.22
mataura,pf,-25.09071084293042,-143.66524218065206,,,,
chokurdakh,ru,74.90809385685768,151.69390143108376,5.13,77,68,13.56
kapaa,us,14.605507305072166,-179.46626062061287,76.37,69,40,17.22
riyadh,sa,25.712973946012724,48.00674799331648,48.2,83,0,4.7
cabo san lucas,mx,14.27625799580882,-122.09295554721784,77,69,20,11.41
komsomolskiy,ru,66.66203029452214,171.76952511426867,46.08,90,8,14.34
pevek,ru,76.27442070487746,171.84757010841344,21.91,88,88,18.48
biak,id,-1.1741721101058857,138.41647604596125,,,,
chokurdakh,ru,71.98211913164897,146.05792961630715,5.13,77,68,13.56
mataura,pf,-47.73346509448557,-151.7555033906197,,,,
taolanaro,mg,-50.46145373206079,58.48417253763779,,,,
mayo,ca,64.93273236508279,-138.0990957131359,-4.01,83,75,3.36
punta arenas,cl,-80.89877777086515,-118.06148451336828,57.2,58,0,17.22
hithadhoo,mv,-1.6612605357319552,69.76881080504793,79.56,100,80,12.77
bluff,nz,-86.01461393659207,167.64074236141545,67.54,79,48,12.77
ushuaia,ar,-66.46873677322054,-57.38123660118394,60.8,44,0,13.22
mataura,pf,-88.88185318395861,-159.5814866632397,,,,
port-cartier,ca,50.59014793709309,-67.11489344015436,17.6,85,90,2.24
ribeira grande,pt,28.823513701563385,-40.31329975857395,66.96,97,80,17.47
gzhatsk,ru,55.91619524291889,34.88728531085437,,,,
beloha,mg,-26.58548098799963,43.42980610270678,70.56,92,0,2.82
san angelo,us,31.481927875137345,-100.99515179484199,69.8,60,1,8.05
belmonte,br,-16.74115640105819,-34.8575287911612,77,94,40,9.17
arraial do cabo,br,-36.71948879853328,-23.192237751588465,75.2,88,75,8.05
pevek,ru,89.90068174445022,170.12655464510988,21.91,88,88,18.48
batemans bay,au,-39.32659143770994,151.7522135435246,59.62,89,64,5.95
jamestown,sh,-17.618743726642904,-14.381594158312112,68.58,100,92,14.67
yumen,cn,36.43957109904596,95.45278259875028,6.52,74,20,4.72
barrow,us,73.29252142311842,-154.35381709993288,3.2,84,90,20.8
atuona,pf,-7.194383679934617,-127.71012571339925,81.22,99,0,19.04
bredasdorp,za,-85.422966970171,18.90839388742114,62.6,67,20,2.24
port lincoln,au,-37.05755301206187,135.20942582131715,61.74,91,68,9.42
